,YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR
246,2023,9,11,6,23.39,94.75,0.08
247,2023,9,11,7,24.44,90.19,0.03
248,2023,9,11,8,25.99,80.69,0.0
249,2023,9,11,9,27.65,71.19,0.0
250,2023,9,11,10,29.12,64.38,0.0
251,2023,9,11,11,30.15,60.75,0.01
252,2023,9,11,12,30.62,59.62,0.01
253,2023,9,11,13,30.64,59.81,0.02
254,2023,9,11,14,30.33,61.25,0.02
255,2023,9,11,15,29.66,65.06,0.03
256,2023,9,11,16,28.65,72.31,0.05
257,2023,9,11,17,27.15,84.44,0.05
258,2023,9,11,18,26.19,88.06,0.07
259,2023,9,11,19,25.87,89.12,0.07
260,2023,9,11,20,25.63,89.75,0.07
261,2023,9,11,21,25.34,90.75,0.07
262,2023,9,11,22,25.03,91.38,0.07
263,2023,9,11,23,24.68,91.88,0.07
264,2023,9,12,0,24.32,92.69,0.08
265,2023,9,12,1,24.04,93.19,0.1
266,2023,9,12,2,23.82,93.81,0.11
267,2023,9,12,3,23.66,94.44,0.12
268,2023,9,12,4,23.55,95.12,0.11
269,2023,9,12,5,23.51,95.19,0.13
270,2023,9,12,6,23.89,93.88,0.14
271,2023,9,12,7,24.73,90.62,0.12
272,2023,9,12,8,26.01,83.12,0.01
273,2023,9,12,9,27.32,74.94,0.01
274,2023,9,12,10,28.3,69.75,0.01
275,2023,9,12,11,28.95,66.75,0.02
276,2023,9,12,12,29.23,65.56,0.03
277,2023,9,12,13,29.19,66.0,0.05
278,2023,9,12,14,28.87,68.25,0.08
279,2023,9,12,15,28.37,73.19,0.1
280,2023,9,12,16,27.53,80.75,0.09
281,2023,9,12,17,26.31,89.19,0.07
282,2023,9,12,18,25.63,90.38,0.04
283,2023,9,12,19,25.55,89.62,0.02
284,2023,9,12,20,25.51,88.31,0.02
285,2023,9,12,21,25.34,88.06,0.01
286,2023,9,12,22,24.85,90.19,0.01
287,2023,9,12,23,24.33,92.0,0.02
288,2023,9,13,0,23.94,92.75,0.02
289,2023,9,13,1,23.65,93.25,0.03
290,2023,9,13,2,23.48,93.5,0.03
291,2023,9,13,3,23.45,93.88,0.02
292,2023,9,13,4,23.4,94.38,0.01
293,2023,9,13,5,23.35,94.56,0.0
294,2023,9,13,6,23.66,93.38,0.0
295,2023,9,13,7,24.31,90.25,0.0
296,2023,9,13,8,25.04,84.44,0.01
297,2023,9,13,9,25.76,78.88,0.01
298,2023,9,13,10,26.4,74.31,0.01
299,2023,9,13,11,26.9,71.12,0.01
300,2023,9,13,12,27.21,69.5,0.01
301,2023,9,13,13,27.41,68.69,0.02
302,2023,9,13,14,27.57,68.25,0.01
303,2023,9,13,15,27.44,69.94,0.01
304,2023,9,13,16,26.81,76.31,0.01
305,2023,9,13,17,25.33,86.44,0.01
306,2023,9,13,18,24.37,88.62,0.01
307,2023,9,13,19,24.05,89.31,0.01
308,2023,9,13,20,23.69,90.06,0.01
309,2023,9,13,21,23.39,90.69,0.02
310,2023,9,13,22,23.22,90.69,0.02
311,2023,9,13,23,23.06,90.44,0.01
312,2023,9,14,0,23.05,90.0,0.03
313,2023,9,14,1,22.93,90.81,0.06
314,2023,9,14,2,22.77,91.56,0.07
315,2023,9,14,3,22.58,92.62,0.06
316,2023,9,14,4,22.37,94.12,0.06
317,2023,9,14,5,22.28,94.94,0.06
318,2023,9,14,6,22.73,93.81,0.04
319,2023,9,14,7,23.77,90.12,0.03
320,2023,9,14,8,25.01,84.12,0.11
321,2023,9,14,9,26.54,76.44,0.15
322,2023,9,14,10,28.01,69.69,0.25
323,2023,9,14,11,29.02,65.38,0.4
324,2023,9,14,12,29.49,63.25,0.53
325,2023,9,14,13,29.51,62.88,0.54
326,2023,9,14,14,29.19,63.94,0.48
327,2023,9,14,15,28.49,67.56,0.38
328,2023,9,14,16,27.55,75.12,0.25
329,2023,9,14,17,25.98,85.88,0.16
330,2023,9,14,18,24.86,89.88,0.09
331,2023,9,14,19,24.48,90.88,0.05
332,2023,9,14,20,24.13,91.88,0.03
333,2023,9,14,21,23.83,92.5,0.01
334,2023,9,14,22,23.51,93.06,0.01
335,2023,9,14,23,23.08,93.75,0.02
336,2023,9,15,0,22.75,94.31,0.04
337,2023,9,15,1,22.59,94.38,0.04
338,2023,9,15,2,22.44,94.62,0.03
339,2023,9,15,3,22.17,95.62,0.02
340,2023,9,15,4,21.96,96.19,0.01
341,2023,9,15,5,21.84,96.25,0.0
342,2023,9,15,6,22.5,93.81,0.0
343,2023,9,15,7,24.26,86.94,0.0
344,2023,9,15,8,26.68,75.31,0.0
345,2023,9,15,9,28.6,66.88,0.0
346,2023,9,15,10,29.97,61.5,0.0
347,2023,9,15,11,30.93,57.69,0.0
348,2023,9,15,12,31.34,55.44,0.01
349,2023,9,15,13,31.22,54.81,0.06
350,2023,9,15,14,30.84,55.0,0.08
351,2023,9,15,15,30.15,57.38,0.06
352,2023,9,15,16,28.87,66.44,0.04
353,2023,9,15,17,26.76,80.31,0.02
354,2023,9,15,18,25.31,83.94,0.0
355,2023,9,15,19,24.98,84.12,0.0
356,2023,9,15,20,24.69,85.0,0.0
357,2023,9,15,21,24.27,86.31,0.01
358,2023,9,15,22,23.92,87.12,0.04
359,2023,9,15,23,23.69,86.69,0.05
360,2023,9,16,0,23.23,87.69,0.06
361,2023,9,16,1,22.66,89.88,0.07
362,2023,9,16,2,22.28,91.69,0.04
363,2023,9,16,3,22.07,93.25,0.02
364,2023,9,16,4,21.98,94.56,0.01
365,2023,9,16,5,22.01,95.44,0.01
366,2023,9,16,6,22.79,93.5,0.01
367,2023,9,16,7,24.44,86.69,0.0
368,2023,9,16,8,26.55,75.56,0.0
369,2023,9,16,9,28.31,67.12,0.0
370,2023,9,16,10,29.58,62.44,0.0
371,2023,9,16,11,30.37,59.88,0.0
372,2023,9,16,12,30.84,58.5,0.01
373,2023,9,16,13,31.04,57.81,0.01
374,2023,9,16,14,30.99,57.75,0.01
375,2023,9,16,15,30.55,59.19,0.03
376,2023,9,16,16,29.53,66.12,0.03
377,2023,9,16,17,27.65,80.44,0.03
378,2023,9,16,18,26.65,82.81,0.04
379,2023,9,16,19,26.65,81.25,0.05
380,2023,9,16,20,26.3,82.75,0.05
381,2023,9,16,21,25.52,86.75,0.04
382,2023,9,16,22,24.87,89.25,0.04
383,2023,9,16,23,24.29,91.12,0.02
384,2023,9,17,0,23.76,92.31,0.02
385,2023,9,17,1,23.23,93.31,0.01
386,2023,9,17,2,22.69,94.0,0.01
387,2023,9,17,3,22.28,94.56,0.0
388,2023,9,17,4,21.97,95.19,0.0
389,2023,9,17,5,21.79,95.81,0.0
390,2023,9,17,6,22.83,92.25,0.0
391,2023,9,17,7,24.83,84.5,0.0
392,2023,9,17,8,26.95,74.62,0.0
393,2023,9,17,9,28.69,67.0,0.0
394,2023,9,17,10,30.1,61.62,0.0
395,2023,9,17,11,31.2,57.75,0.0
396,2023,9,17,12,31.9,55.44,0.0
397,2023,9,17,13,32.18,54.31,0.0
398,2023,9,17,14,32.08,54.12,0.0
399,2023,9,17,15,31.51,55.69,0.0
400,2023,9,17,16,30.23,63.56,0.0
401,2023,9,17,17,28.08,77.94,0.0
402,2023,9,17,18,26.47,83.06,0.0
403,2023,9,17,19,25.91,84.62,0.0
404,2023,9,17,20,25.55,85.94,0.0
405,2023,9,17,21,25.29,87.06,0.0
406,2023,9,17,22,25.01,87.62,0.0
407,2023,9,17,23,24.64,88.19,0.0
408,2023,9,18,0,24.3,88.12,0.0
409,2023,9,18,1,23.91,88.25,0.0
410,2023,9,18,2,23.44,89.25,0.0
411,2023,9,18,3,22.94,91.06,0.0
412,2023,9,18,4,22.58,92.62,0.0
413,2023,9,18,5,22.32,94.12,0.0
414,2023,9,18,6,23.17,90.69,0.0
415,2023,9,18,7,25.14,81.88,0.0
416,2023,9,18,8,27.38,71.56,0.0
417,2023,9,18,9,29.23,63.56,0.0
418,2023,9,18,10,30.65,58.25,0.0
419,2023,9,18,11,31.66,55.06,0.01
420,2023,9,18,12,32.22,53.62,0.01
421,2023,9,18,13,32.33,53.5,0.01
422,2023,9,18,14,32.05,54.62,0.01
423,2023,9,18,15,31.42,56.88,0.02
424,2023,9,18,16,30.26,63.5,0.02
425,2023,9,18,17,28.34,77.12,0.02
426,2023,9,18,18,26.95,82.88,0.02
427,2023,9,18,19,26.64,83.25,0.02
428,2023,9,18,20,26.26,84.44,0.03
429,2023,9,18,21,25.69,86.88,0.03
430,2023,9,18,22,25.26,88.25,0.02
431,2023,9,18,23,24.92,88.62,0.01
432,2023,9,19,0,24.6,88.88,0.0
433,2023,9,19,1,24.26,89.0,0.0
434,2023,9,19,2,23.75,90.19,0.0
435,2023,9,19,3,23.26,91.19,0.0
436,2023,9,19,4,22.8,92.5,0.0
437,2023,9,19,5,22.45,93.88,0.0
438,2023,9,19,6,23.05,91.06,0.0
439,2023,9,19,7,24.71,82.69,0.0
440,2023,9,19,8,26.61,73.5,0.0
441,2023,9,19,9,28.2,66.62,0.0
442,2023,9,19,10,29.48,62.0,0.01
443,2023,9,19,11,30.48,59.0,0.02
444,2023,9,19,12,30.97,57.56,0.02
445,2023,9,19,13,30.98,57.44,0.03
446,2023,9,19,14,30.62,59.0,0.04
447,2023,9,19,15,29.9,63.44,0.05
448,2023,9,19,16,28.92,70.62,0.06
449,2023,9,19,17,27.3,83.0,0.06
450,2023,9,19,18,26.47,85.56,0.08
451,2023,9,19,19,26.31,85.56,0.08
452,2023,9,19,20,26.26,84.81,0.09
453,2023,9,19,21,26.24,83.5,0.1
454,2023,9,19,22,25.9,85.44,0.13
455,2023,9,19,23,25.19,89.31,0.13
456,2023,9,20,0,24.73,90.94,0.13
457,2023,9,20,1,24.39,91.12,0.1
458,2023,9,20,2,24.07,91.56,0.08
459,2023,9,20,3,23.73,92.62,0.05
460,2023,9,20,4,23.43,93.62,0.04
461,2023,9,20,5,23.22,94.38,0.03
462,2023,9,20,6,23.56,93.0,0.02
463,2023,9,20,7,24.69,87.62,0.01
464,2023,9,20,8,26.47,78.56,0.03
465,2023,9,20,9,28.15,71.31,0.04
466,2023,9,20,10,29.27,67.44,0.06
467,2023,9,20,11,29.8,65.94,0.1
468,2023,9,20,12,29.9,65.69,0.16
469,2023,9,20,13,29.65,66.94,0.27
470,2023,9,20,14,29.06,70.12,0.35
471,2023,9,20,15,28.3,74.56,0.41
472,2023,9,20,16,27.39,81.06,0.38
473,2023,9,20,17,26.17,89.38,0.32
474,2023,9,20,18,25.35,93.0,0.27
475,2023,9,20,19,25.03,93.69,0.24
476,2023,9,20,20,24.81,93.88,0.22
477,2023,9,20,21,24.69,93.25,0.2
478,2023,9,20,22,24.52,92.94,0.15
479,2023,9,20,23,24.2,94.25,0.11
480,2023,9,21,0,23.9,95.38,0.1
481,2023,9,21,1,23.69,95.81,0.12
482,2023,9,21,2,23.57,96.0,0.14
483,2023,9,21,3,23.49,95.94,0.17
484,2023,9,21,4,23.4,95.81,0.15
485,2023,9,21,5,23.33,95.69,0.14
486,2023,9,21,6,23.77,94.06,0.16
487,2023,9,21,7,24.82,89.25,0.23
488,2023,9,21,8,26.4,80.56,1.25
489,2023,9,21,9,27.92,73.75,1.86
490,2023,9,21,10,28.73,71.5,2.25
491,2023,9,21,11,28.98,71.5,2.5
492,2023,9,21,12,29.01,72.38,2.73
493,2023,9,21,13,28.73,74.69,2.72
494,2023,9,21,14,28.33,77.62,1.92
495,2023,9,21,15,27.8,82.0,1.19
496,2023,9,21,16,27.11,85.5,0.65
497,2023,9,21,17,26.0,92.0,0.33
498,2023,9,21,18,25.26,94.38,0.16
499,2023,9,21,19,24.95,94.94,0.09
500,2023,9,21,20,24.68,95.38,0.13
501,2023,9,21,21,24.39,95.62,0.24
502,2023,9,21,22,24.11,95.81,0.51
503,2023,9,21,23,23.8,96.06,0.77
504,2023,9,22,0,23.51,96.31,0.93
505,2023,9,22,1,23.24,96.56,0.91
506,2023,9,22,2,23.0,96.81,0.8
507,2023,9,22,3,22.85,96.88,0.6
508,2023,9,22,4,22.76,96.88,0.37
509,2023,9,22,5,22.68,96.81,0.21
510,2023,9,22,6,23.27,95.06,0.14
511,2023,9,22,7,24.32,91.88,0.1
512,2023,9,22,8,25.86,83.56,0.0
513,2023,9,22,9,27.2,75.44,0.0
514,2023,9,22,10,28.12,71.31,0.0
515,2023,9,22,11,28.7,69.0,0.0
516,2023,9,22,12,29.11,67.25,0.0
517,2023,9,22,13,29.18,66.31,0.0
518,2023,9,22,14,28.94,66.5,0.0
519,2023,9,22,15,28.44,68.31,0.0
520,2023,9,22,16,27.62,73.44,0.0
521,2023,9,22,17,26.08,84.06,0.0
522,2023,9,22,18,25.06,87.25,0.01
523,2023,9,22,19,24.7,87.69,0.02
524,2023,9,22,20,24.29,88.0,0.03
525,2023,9,22,21,23.87,88.44,0.04
526,2023,9,22,22,23.44,88.94,0.05
527,2023,9,22,23,23.12,89.44,0.05
528,2023,9,23,0,22.8,90.12,0.04
529,2023,9,23,1,22.54,91.06,0.02
530,2023,9,23,2,22.33,92.06,0.01
531,2023,9,23,3,22.18,93.12,0.01
532,2023,9,23,4,22.02,93.94,0.0
533,2023,9,23,5,21.94,94.62,0.0
534,2023,9,23,6,23.12,90.81,0.0
535,2023,9,23,7,24.58,85.0,0.0
536,2023,9,23,8,26.86,74.25,0.0
537,2023,9,23,9,28.47,67.44,0.0
538,2023,9,23,10,29.41,64.62,0.0
539,2023,9,23,11,30.06,63.0,0.0
540,2023,9,23,12,30.45,61.81,0.0
541,2023,9,23,13,30.54,61.44,0.0
542,2023,9,23,14,30.34,62.06,0.0
543,2023,9,23,15,29.93,64.19,0.0
544,2023,9,23,16,29.28,69.62,0.0
545,2023,9,23,17,27.95,78.88,0.0
546,2023,9,23,18,27.16,81.56,0.01
547,2023,9,23,19,26.81,82.19,0.01
548,2023,9,23,20,26.08,86.44,0.01
549,2023,9,23,21,25.15,90.56,0.02
550,2023,9,23,22,24.51,93.19,0.03
551,2023,9,23,23,24.13,94.56,0.04
552,2023,9,24,0,23.85,95.69,0.03
553,2023,9,24,1,23.61,96.62,0.01
554,2023,9,24,2,23.48,96.88,0.0
555,2023,9,24,3,23.44,96.44,0.0
556,2023,9,24,4,23.34,96.44,0.0
557,2023,9,24,5,23.19,96.81,0.0
558,2023,9,24,6,23.8,93.94,0.0
559,2023,9,24,7,25.1,87.88,0.0
560,2023,9,24,8,26.55,80.81,0.06
561,2023,9,24,9,27.6,76.31,0.07
562,2023,9,24,10,28.35,73.56,0.07
563,2023,9,24,11,28.79,72.06,0.09
564,2023,9,24,12,28.99,71.5,0.11
565,2023,9,24,13,28.99,72.06,0.13
566,2023,9,24,14,28.72,74.0,0.14
567,2023,9,24,15,28.26,77.44,0.15
568,2023,9,24,16,27.61,82.31,0.15
569,2023,9,24,17,26.55,89.19,0.15
570,2023,9,24,18,26.01,90.19,0.16
571,2023,9,24,19,25.69,90.75,0.18
572,2023,9,24,20,25.23,93.12,0.16
573,2023,9,24,21,24.82,95.06,0.15
574,2023,9,24,22,24.48,96.12,0.14
575,2023,9,24,23,24.23,96.62,0.12
576,2023,9,25,0,24.05,96.44,0.12
577,2023,9,25,1,23.88,96.19,0.15
578,2023,9,25,2,23.69,96.19,0.16
579,2023,9,25,3,23.49,96.25,0.17
580,2023,9,25,4,23.33,96.31,0.14
581,2023,9,25,5,23.19,96.44,0.1
582,2023,9,25,6,23.4,95.62,0.07
583,2023,9,25,7,23.93,94.06,0.04
584,2023,9,25,8,24.85,90.75,0.03
585,2023,9,25,9,26.12,85.38,0.03
586,2023,9,25,10,27.48,78.44,0.04
587,2023,9,25,11,28.5,73.5,0.09
588,2023,9,25,12,28.98,71.06,0.17
589,2023,9,25,13,29.07,70.31,0.26
590,2023,9,25,14,28.71,71.94,0.3
591,2023,9,25,15,28.07,75.44,0.34
592,2023,9,25,16,27.13,82.06,0.44
593,2023,9,25,17,25.87,89.38,0.6
594,2023,9,25,18,25.05,92.75,0.74
595,2023,9,25,19,24.65,93.38,0.81
596,2023,9,25,20,24.31,94.0,0.79
597,2023,9,25,21,23.95,94.81,0.72
598,2023,9,25,22,23.61,95.56,0.52
599,2023,9,25,23,23.3,96.19,0.37
600,2023,9,26,0,22.99,96.88,0.25
601,2023,9,26,1,22.76,97.38,0.19
602,2023,9,26,2,22.57,97.75,0.16
603,2023,9,26,3,22.51,97.62,0.17
604,2023,9,26,4,22.51,97.19,0.15
